Text;Sentiment
  Nice location ;1
 Regular Mac Donalds, but have a very special view on the Dnieper river. ;2
 The best fast food range.;1
"(+)Швидке обслуговування, привітні співробітники, адекватна адміністрація. Чисто, приємно комфортно ??
(-) Замало місця для таких потоків людей, відсутній заїзд для обслуговування автомобілів??";2
 Куча народа. Заказ более 5 минут.;2
 Все хорошо,но цыгане задрал,одна барышня чуть не вынесла ветровку пока с ребенком делали заказ, оставленную на стуле,и они там каждый раз ходят, администрация примите меры.;2
 Впевнено і сміло тримають рівень);2
 очень вкусные бургеры =);2
 Не смотря на то что Mc это сеть быстрого питания , в этом заведении очень вкусно и удобно . Дружелюбный и общительный персонал ) Еда вкусная , горячая .;1
 Все круто ;1
 Хорошее место для быстрого перекуса;1
 Пол литра колы не могут стоить 21 грн это гониво. ;2
 Восхищаюсь сетью макдональдс в целом и биг-мак очень вкусный!) ;1
 Я це люблю :) ;1
 Всегда з заезжаю по дороге. Вкусно, быстро и вежливо.;1
 В найбільш завантажені дні замовлення видають менше ніж за 2 хв. Радує швидкість обслуговування та чистота.;2
 Все как везде. Макдоналдс везде одинаков. Вкусно, но вредно))??;1
 Макдональдси всі працюють по одному стандарту, тому воно й не дивно, що тут все так саме якісно як і в інших закладах мережі;1
 Не много народу, всегда можно найти свободные места.;1
 Открываются в 6:00. Очень удобно.;2
 Быстро обслужыли. Вкусно. Приятный персонал.;1
 Медленное обсуживание , персонал грубит (27,03,2017) после 22/00  если быть точней . Обычно сколько не заходил всегда медленно . Макдрайв работает куда быстрей персонала внутри .;2
 Стандартний мережевий заклад швидкого харчування.;2
 ми в неділю підемо в МакДональдз;1
 В цьому закладі обважують рідною картопелькою.. Касирша тормознута. Краще пройтися паро метрів і хаванути вареників.;2
 Очень быстрая подача, в течении 30 секунду всё положили, что заказал. Минус - продукты, приготовленные заранее были менее свежие, картошка фри была не очень свежая.;2
 коли приходиш в нове місце,і не хочеш прогадати з кухнею для обіду - скрізь є перевірений Мак:);1
Хорошее место для быстрого перекуса;1
очень вкусные бургеры =);2
Очень быстрая подача, в течении 30 секунду всё положили, что заказал. Минус - продукты, приготовленные заранее были менее свежие, картошка фри была не очень свежая.;2
Восхищаюсь сетью макдональдс в целом и биг-мак очень вкусный!) ;1
Пол литра колы не могут стоить 21 грн это гониво. ;2
Не много народу, всегда можно найти свободные места.;1
"1)Помешкання замале для такої кількості відвідувачів, геть не затишно.2) При користування послугами ""МакДрайв"" неодноразово доводилося подовгу чекати(понад 10 хвилин). При тому, що місце для очікування видачі замовлення не дуже зручне. З повагою ставлюся до мережі ""Макдоналдс"", але це відділення-найслабше з тих багатьох столичних, де бував. Бажаю вдосконалення!";2
9:30 довго + грязний столик і не смачно. ;2
A bit too expensive, but nice.;2
A good place to have a snack or take meal to-go. Filled by people in the evenings and on holidays;2
A little bit crowdy, but modern and convenient restaurant. I was served fast.;2
A lot of people but inside not dirty ;2
"A Mac is a Mac. :) This one located conveniently at the busy road junction and underground metro station ""Petrivka"". Also Mac-drive for those who's on the go is present on site. ";2
A place for a quick bite right in the city center. Fast food restaurant of Mcdonalds chain, crowded and noisy, but fast.;1
A restaurant of the famous chain. Usually crowded place with a free toilet downstairs. The prices are lower than average in Europe.;1
A taste of home in Ukraine!;1
Affordable and a good place to hangout with friends ..;2
All fast food .. bad for health;2
Always a very busy place.;2
Always crowded, not clean, but still a nice and cheap place to have a fast food.;2
Always fast service;1
Amazing burger but the cashier was not enthusiastic.;2
Another McDonald's restaurant. Nearly always crowded, but with some nice seats on the first floor;2
Basic McDonald's. Service was good and friendly. Larger menu selection in Ukraine should be available.;2
Because it's McDonald's.  Why not 5 star ? Because when I finished enjoying my meal administrator came to me and asked how long I will stay here. It's abusive.;2
Beggers can disturb you, they should take proper care about that, otherwise it is a nice place to have food, the breakfast menus are great.;2
Below average among McDonald's places. French fries were very dry and Big Mac's sauce had a weird taste;2
Best branch I have seen on the world.And very kind and helpful personality of course security man too...;1
Best McDonald's! Administration will never ask you to leave when you finished your meal. Also fast services.;1
"Better food at this McDonalds than in The States!  French fries are still cooked in ""good"" fry oil!";1
Better than in America but still just ok.;2
Better than McDonald's in USA. Clean. Better food. This is usually the case with European McD's. Good outside seating. Always busy.;2
Big ASS;1
City center MCD. Nothing special;1
Clean and fast. Quality as usual.;2
Clean, tasty, wifi;1
Close to central railway station.;1
Convenient food;2
Convenient location for morning coffee pickup on a way to work;2
Convenient location. Clean place and fast service. I stop there sometimes.;1
Convenient, but small and crowdy.;2
Cozy place with Mac Cafe ;1
Cozy place, fast service, nice staff :);1
Crowd place,  MacDrive available, near metropolitan station Academmistechko;2
Crowded but good  ;2
Crowded place;2
Decent McDonalds restaurant, they have interesting breakfast menu and quite nice outdoor terrace.;1
Decent set up with customers satisfaction;2
Delicious burgers sandwiches and nice place but why they don't provide electricity outlets for customers phones??!!;1
Drive through is not so convenient. One path splitting to two paths and then again merging into one. Parking is small as well.;2
Even very early in the morning they play loud music.  Food is good.  Consistent and some employees speak English.  English should be mandatory.;2
Everything is OK with McDonald's. Loud and cozy place, always crowded. Fast food, free WC and lovely place to wait someone.;2
Excellent fast food! Easy to get there and large parking!;1
Fast and good McDonald's style quality. But really crowded and loud.;2
Fast food, what's more?;2
Fast service and Wi-Fi and space to charge phone;2
Fast service easily reachable;2
Fast service, good people,not sure if meal is healthy, but its tasty;1
Fast. Clean restrooms. Free Wi-Fi. Consistent.;2
First Macdonald in Dnipropetrovsk. Clear,  open terasse, suitable place in the commute cross.;1
Flat White норм;2
Food is so delicious... Excellent experience..;1
Free is not good today;2
Free Wifi and clean. 24/7 open...its a mc donalds;2
Free WiFi, fast food and a looot of people ;2
Get your half-cup of ice cream for 30 griven. Super disappointed.;2
good;1
Good;2
Good;1
Good  fast food. I'm loven' it;1
Good but always very crowded ;2
Good but too many people. As usual for McDonald's ;2
good coffee;1
Good coffee;1
Good fast food restaurant from the famous brand, but when it is crowdy it will become not confortable to sit and eat something.;2
Good food, good service. Always McDonalds.;2
"Good fresh nugs, and great service, esp. from Olga. Unfortunately it appears the upstairs dining area has an ant problem; see image. ";2
Good interiors;1
Good location, usually crowded.;2
Good Mc near train station.;1
Good Mc sandwiches the solution everywhere ;1
Good McDonald's...just almost all the time is crowded...;2
Good place;2
Good place;2
Good place as for ordinary McDonald's. The only issue I had - is not very intuitively responsive hand dryer;2
Good place for hungry and busy people ;1
Good place. Quick service;1
good service, toilets busy;2
Good service,,, they always have someone that speaks English;2
Good, clean location, as expected. Lots of outdoor seating, a drive thru, and a convenient location near the subway.;1
Great for a quick breakfast at 6 in the morning. It's usually crowded, but it's the only decent place near the train station. ;2
Great for fast food,service is okay;2
Great location if you are en route to harkhiv. Mc Donald's food though is.... you know...;2
Great location. McCafe is really nice. People are friendly. THANKS to McCafe barista Iryna!;1
Great location. Nice Poshtova square. Great view of the river.;1
Great mc. Good service, as usual.;1
great place for kids but not healthy food of course :);2
Great place to eat;1
"Great place to eat some junk food anf wait for ypur train ;)";1
Great place to grab cheeseburger and coffee and sit browsing internet. Food and WiFi quality are very high;1
Great place, always can find an empty place as it's quite secluded. Quite a lot of tables on the fresh air. Convenient car parking.;2
Great place, like the others in Kyiv, but has no parking solutions and almost every time there are no place to sit.;2
guys this is a great place visited a lot by locals ... good prices - I got my breakfast free at the price of just the coffee ;1
Hey, it's McDonald's;1
I am living this;1
I have never been in a McDonald's as busy as the the one in Lviv, Ukraine. With packed lines outside the doors, this location made you feel like you were in heartland of the United States. If you're wanting a taste of the good ole USA outside the borders,  be sure to grab your Big Mac here! ;1
I have not seen a family atmosphere;2
i just love in it;1
I lave it! Grate place for have breakfast!;1
I like it;1
I like this food;1
I ordered cola without ice, they brought me it with whole a lot of ice. What is wrong with them?;2
Iconic meeting point in the center of the city. Free WC, the best quality/price ratio McDonalss in the world. ;1
I'm love it;2
i'm lovin' it;1
I'm lovin' it!;1
I'm loving it ;1
I'm loving it ????;1
It can get crowded fortunately the services are fast.;2
It is a life saver if you are not good with Ukrainian cuisine. Better than most Mc's I have been to. Meat & fry quality is good for a Mc. Cheers ;2
It is a small and rather clean cafe. I liked its location;2
It is typical for UA McDonalds, with long queues and no free seats. Looks like a clean and rather cozy place.;2
It just makdak;2
It's a lovely place the service is fast;1
It's mcdonads low prices and decent food;2
It's McDonald's what else to say? It's better than United States version but it's still McDonald's. General fare that is decent with decent prices. Fast and efficient. Drive through open late. Inside open till 1. But unlike America, can walk up to drive through. ;2
